cluster,gene,p_val,p_val_adj,avg_log2FC,pct.1,pct.2
1,Slc10a6,1.4984461707855173e-6,0.039403140506975964,1.2720976768691736,0.943,0.76
1,Ahi1,1.5934381341503665e-6,0.04190104917561804,0.6222827540647824,1,0.976
1,Abca1,1.6292031968893356e-6,0.04284152726540197,0.9702729261515204,1,0.955
1,Tns1,1.6360322982889961e-6,0.04302110531580744,-2.3137320826477348,0.6,0.829
1,Sdc2,1.8216206923081169e-6,0.04790133772493424,0.6416780921160408,0.971,0.935
1,Pcp4l1,1.8289605081057085e-6,0.04809434552114771,-2.6110134434283188,0.743,0.907
1,Rims3,1.841492254446481e-6,0.04842388032292466,0.6298518079705131,1,0.972
1,Mal2,1.8715429591880134e-6,0.049214093654808,0.703235835852138,1,0.911
1,Zfp804a,1.968938007183258e-6,0.05177519383689095,-2.698634092071993,0.4,0.695
1,Slc46a1,2.035400931872913e-6,0.053522902904530115,0.7748844880222299,1,0.955
1,Trp53inp2,2.2807722101481194e-6,0.05997518603805495,0.6747763536773732,1,0.996
1,Gabra5,2.3611563414897806e-6,0.06208896715581527,-2.9844936049085904,0.257,0.683
1,Pcdh19,2.427110675095486e-6,0.0638233023123109,1.4209502048182028,0.971,0.829
1,Sgcz,2.492238620453165e-6,0.06553590676343643,-2.1745791025978125,0.257,0.663
1,Adam11,2.5398623781915808e-6,0.06678822109692581,-2.083475856114888,0.686,0.866
1,Tmem132a,2.6932186935633055e-6,0.07082087876594068,1.4484435837597467,0.943,0.764
1,Nectin4,2.7790576987439137e-6,0.07307810124616995,-2.0155482807085563,0.486,0.801
1,Gm7255,2.9398525178287104e-6,0.07730636180882376,-3.0145875362230465,0.229,0.602
1,Chst8,2.9607334786966753e-6,0.07785544755580777,0.9309870480648503,1,0.911
1,Anapc5,2.9799693180960486e-6,0.0783612731886537,0.3961205612417187,1,1
1,Eps15,3.064067231252177e-6,0.08057271191300724,0.5851464129173021,1,0.996
1,Tdg,3.0812924443029406e-6,0.08102566611539012,0.6445192669730426,1,0.963
1,Slc35e4,3.2203023978343804e-6,0.08468107185345286,0.6276359735253845,1,0.984
1,Ankib1,3.667072873522541e-6,0.09642934828214875,0.5766723493428882,1,0.967
1,Ltb4r1,3.771421260825159e-6,0.09917329347465838,3.298658315564515,0.171,0.016
1,Sparcl1,4.013715338059241e-6,0.1055446585296058,0.20473423349847408,0.943,0.821
1,Rnase4,4.093681235975064e-6,0.10764744178120028,1.1299631067095897,1,0.858
1,Gpat2,4.182460808766433e-6,0.10998198942732212,5.39819398911543,0.086,0
1,Fam102b,4.270262893826308e-6,0.1122908330560566,0.628556096166176,1,0.988
1,Pisd,4.468271555175014e-6,0.11749766881488218,0.6415349113787263,1,0.984
1,Akap12,4.486002115799402e-6,0.11796391163706108,0.5490708105919921,1,0.996
1,Brinp2,4.5387945371241094e-6,0.11935214114821559,0.8777860928359478,0.971,0.85
1,Prkcb,4.898856413033606e-6,0.12882032823713171,0.9411122538203376,1,0.963
1,Ngfr,5.076465358511941e-6,0.13349073306743,-2.298445540063702,0.657,0.846
1,Rasa4,5.1660614457584335e-6,0.13584675177766375,0.6769183617201735,1,0.972
1,Wdr6,5.203101432196892e-6,0.13682075526104948,0.75088023856169706,1,0.972
